# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 13 07:17:05 2022
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%FALSE%')
#
# COLUMN kepid:          KepID
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_num_transits: Number of Transits
#
kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
3560301,,FALSE POSITIVE,1,0,91.70,233
4044005,,FALSE POSITIVE,0,1,322.30,76
5802246,,FALSE POSITIVE,0,1,116.10,2034
6066403,,FALSE POSITIVE,0,0,140.60,1027
6209637,,FALSE POSITIVE,0,0,,
5988031,,FALSE POSITIVE,0,0,24.30,531
7684873,,FALSE POSITIVE,0,1,62.30,454
2851100,,FALSE POSITIVE,0,1,19.60,1503
3130300,,FALSE POSITIVE,0,0,22.20,188
3228959,,FALSE POSITIVE,1,0,37.50,1836
10341913,,FALSE POSITIVE,1,0,136.30,1438
10480921,,FALSE POSITIVE,0,0,27.00,527
11673674,,FALSE POSITIVE,0,1,270.10,287
3441784,,FALSE POSITIVE,0,1,184.30,27
5820218,,FALSE POSITIVE,0,0,35.60,398
5876368,,FALSE POSITIVE,0,1,63.60,2543
9048161,,FALSE POSITIVE,0,1,187.60,155
3235672,,FALSE POSITIVE,1,0,,
3120276,,FALSE POSITIVE,0,0,20.10,124
3547091,,FALSE POSITIVE,0,1,39.60,399
3869825,,FALSE POSITIVE,0,1,298.00,222
3655332,,FALSE POSITIVE,0,1,154.60,73
4042026,,FALSE POSITIVE,0,1,882.60,39
3344419,,FALSE POSITIVE,1,0,195.20,1031
11192141,,FALSE POSITIVE,0,1,76.70,996
11494130,,FALSE POSITIVE,1,0,249.30,59
5648449,,FALSE POSITIVE,0,1,56.30,307
12167361,,FALSE POSITIVE,0,1,221.10,28
8607720,,FALSE POSITIVE,1,0,6.10,
1433962,,FALSE POSITIVE,0,1,66.90,846
3337425,,FALSE POSITIVE,0,0,24.00,186
3865567,,FALSE POSITIVE,0,1,115.30,99
3544689,,FALSE POSITIVE,0,1,103.40,699
4037164,,FALSE POSITIVE,0,1,182.20,2107
3443790,,FALSE POSITIVE,0,1,148.00,803
3966912,,FALSE POSITIVE,0,1,103.40,21
11607193,,FALSE POSITIVE,0,0,24.20,
10227501,,FALSE POSITIVE,0,0,22.20,534
6032981,,FALSE POSITIVE,1,0,8.60,
5866099,,FALSE POSITIVE,0,1,59.20,38
5964985,,FALSE POSITIVE,0,0,54.40,
6066416,,FALSE POSITIVE,0,0,34.70,1028
1996679,,FALSE POSITIVE,0,1,58.10,9
3003992,,FALSE POSITIVE,0,0,27.20,144
10743597,,FALSE POSITIVE,0,0,63.00,
10743597,,FALSE POSITIVE,0,0,121.10,1304
6124941,,FALSE POSITIVE,0,0,37.30,232
3003992,,FALSE POSITIVE,0,0,16.50,76
6307537,,FALSE POSITIVE,0,1,765.00,47
6359798,,FALSE POSITIVE,0,1,930.30,91
6311681,,FALSE POSITIVE,0,1,245.60,1583
6365321,,FALSE POSITIVE,0,1,185.00,1571
6301035,,FALSE POSITIVE,0,1,102.80,107
3557493,,FALSE POSITIVE,0,0,64.80,
10015516,,FALSE POSITIVE,0,0,1328.20,
5130369,,FALSE POSITIVE,0,1,86.20,69
6147122,,FALSE POSITIVE,0,1,21.00,90
8257407,,FALSE POSITIVE,0,1,3420.30,0
8218274,,FALSE POSITIVE,0,1,717.40,1127
3964562,,FALSE POSITIVE,0,1,253.40,354
6292162,,FALSE POSITIVE,0,1,100.00,147
6307521,,FALSE POSITIVE,0,1,55.90,46
3848972,,FALSE POSITIVE,0,1,251.90,1805
3860441,,FALSE POSITIVE,0,0,48.20,358
3765771,,FALSE POSITIVE,0,1,86.10,379
3557341,,FALSE POSITIVE,1,0,82.40,1207
3858949,,FALSE POSITIVE,0,1,65.80,41
3858824,,FALSE POSITIVE,0,1,79.40,41
2157247,,FALSE POSITIVE,0,0,414.40,
7601633,,FALSE POSITIVE,0,1,175.90,42
8242681,,FALSE POSITIVE,0,1,282.60,334
8246781,,FALSE POSITIVE,0,1,938.20,8
8264070,,FALSE POSITIVE,0,1,73.90,309
8279765,,FALSE POSITIVE,0,1,349.20,490
8330548,,FALSE POSITIVE,0,0,124.60,1401
3348082,,FALSE POSITIVE,0,0,27.10,339
3853673,,FALSE POSITIVE,0,1,53.70,2078
1432214,,FALSE POSITIVE,0,1,704.50,9
2441728,,FALSE POSITIVE,0,0,33.10,1559
8374494,,FALSE POSITIVE,0,1,146.30,217
8414907,,FALSE POSITIVE,1,0,63.20,14
8414907,,FALSE POSITIVE,1,0,,14
8397446,,FALSE POSITIVE,1,0,117.70,823
8386035,,FALSE POSITIVE,1,0,,1647
2438502,,FALSE POSITIVE,0,1,425.60,153
2309585,,FALSE POSITIVE,0,1,63.70,616
8244190,,FALSE POSITIVE,0,0,45.50,1220
8262210,,FALSE POSITIVE,0,1,19.30,809
10232123,,FALSE POSITIVE,0,0,269.80,799
10223616,,FALSE POSITIVE,1,0,63.40,37
8415745,,FALSE POSITIVE,0,1,78.70,33
8378634,,FALSE POSITIVE,0,1,76.40,369
8397675,,FALSE POSITIVE,0,1,202.20,2421
8312852,,FALSE POSITIVE,0,0,34.00,181
5738346,,FALSE POSITIVE,0,1,37.50,35
1722276,,FALSE POSITIVE,1,0,66.70,3
892772,,FALSE POSITIVE,0,0,17.10,225
1027438,,FALSE POSITIVE,1,0,,
10268907,,FALSE POSITIVE,0,0,21.70,2053
10153827,,FALSE POSITIVE,0,0,170.00,
8302450,,FALSE POSITIVE,0,0,27.20,545
8299955,,FALSE POSITIVE,0,0,26.70,498
9595686,,FALSE POSITIVE,0,1,156.50,435
9661877,,FALSE POSITIVE,0,1,36.70,55
5728283,,FALSE POSITIVE,0,1,2561.10,210
8127639,,FALSE POSITIVE,0,0,63.00,1106
6047498,,FALSE POSITIVE,0,1,93.30,1287
10158990,,FALSE POSITIVE,0,1,44.30,973
8349405,,FALSE POSITIVE,1,0,,
5297298,,FALSE POSITIVE,0,1,1405.60,39
8176653,,FALSE POSITIVE,0,0,43.00,465
8183911,,FALSE POSITIVE,0,0,17.40,166
8179973,,FALSE POSITIVE,1,0,,
4649305,,FALSE POSITIVE,0,1,170.10,58
10148521,,FALSE POSITIVE,0,0,34.70,1106
3124412,,FALSE POSITIVE,0,1,238.60,1413
10287248,,FALSE POSITIVE,0,1,314.10,220
10351767,,FALSE POSITIVE,1,0,578.60,840
10342041,,FALSE POSITIVE,0,0,549.50,1443
10514770,,FALSE POSITIVE,0,1,179.00,711
2309719,,FALSE POSITIVE,0,1,628.10,23
2558363,,FALSE POSITIVE,0,0,42.90,2385
2445154,,FALSE POSITIVE,0,0,39.70,156
3113266,,FALSE POSITIVE,0,1,272.00,1347
3232859,,FALSE POSITIVE,0,1,180.60,160
3098184,,FALSE POSITIVE,0,1,56.00,38
2720309,,FALSE POSITIVE,0,0,236.90,
10342065,,FALSE POSITIVE,0,0,365.70,1444
10352945,,FALSE POSITIVE,0,0,30.70,136
2574201,,FALSE POSITIVE,0,1,18.30,35
2166206,,FALSE POSITIVE,0,0,35.40,165
3239636,,FALSE POSITIVE,1,0,100.10,1265
3340070,,FALSE POSITIVE,0,0,28.30,
7661409,,FALSE POSITIVE,0,0,139.50,428
10002261,,FALSE POSITIVE,0,1,2981.30,107
8176650,,FALSE POSITIVE,0,1,1642.20,85
5899544,,FALSE POSITIVE,0,0,130.00,653
5963222,,FALSE POSITIVE,0,1,603.40,1099
5982353,,FALSE POSITIVE,0,1,2477.00,70
6205468,,FALSE POSITIVE,0,1,294.80,357
8506766,,FALSE POSITIVE,0,1,445.70,27
3240706,,FALSE POSITIVE,0,1,36.70,249
3228824,,FALSE POSITIVE,1,0,52.40,1558
10341831,,FALSE POSITIVE,0,0,88.80,1440
10485179,,FALSE POSITIVE,1,0,86.30,1200
8892910,,FALSE POSITIVE,0,1,806.50,129
10657664,,FALSE POSITIVE,0,1,1293.10,410
3337351,,FALSE POSITIVE,0,1,274.90,186
6153201,,FALSE POSITIVE,0,0,207.40,
5802486,,FALSE POSITIVE,0,1,137.50,963
5817553,,FALSE POSITIVE,1,0,149.30,324
5982368,,FALSE POSITIVE,0,1,157.80,59
5816811,,FALSE POSITIVE,0,1,124.30,301
5816165,,FALSE POSITIVE,0,1,56.30,1919
6677256,,FALSE POSITIVE,0,1,32.00,364
6692833,,FALSE POSITIVE,0,0,27.40,123
7174351,,FALSE POSITIVE,0,0,17.90,896
8801343,,FALSE POSITIVE,0,1,1454.30,487
8488878,,FALSE POSITIVE,0,1,396.80,195
8560285,,FALSE POSITIVE,0,1,898.40,13
8620565,,FALSE POSITIVE,0,1,272.30,1711
10785538,,FALSE POSITIVE,0,1,48.20,2046
7357531,,FALSE POSITIVE,0,1,110.30,4
6185711,,FALSE POSITIVE,0,0,41.30,90
8737796,,FALSE POSITIVE,1,0,203.60,759
8462258,,FALSE POSITIVE,0,0,167.10,318
8454250,,FALSE POSITIVE,0,0,95.50,261
8848271,,FALSE POSITIVE,0,1,220.30,135
4275739,,FALSE POSITIVE,0,1,300.60,395
6878167,,FALSE POSITIVE,0,1,56.90,802
6880531,,FALSE POSITIVE,1,0,,
6863839,,FALSE POSITIVE,0,0,36.90,699
7296086,,FALSE POSITIVE,0,0,37.70,1503
8823426,,FALSE POSITIVE,0,1,86.70,869
4070376,,FALSE POSITIVE,0,1,376.50,657
4078157,,FALSE POSITIVE,0,1,257.80,54
4480676,,FALSE POSITIVE,0,1,392.20,1501
4079535,,FALSE POSITIVE,0,1,109.70,49
6774826,,FALSE POSITIVE,0,0,32.90,184
5652237,,FALSE POSITIVE,0,1,37.60,300
7375795,,FALSE POSITIVE,0,0,45.00,71
7255336,,FALSE POSITIVE,0,1,250.80,1110
7802136,,FALSE POSITIVE,0,1,1555.40,123
9632895,,FALSE POSITIVE,0,1,3622.70,50
7449844,,FALSE POSITIVE,0,1,104.50,1162
8766222,,FALSE POSITIVE,0,1,31.80,249
8703884,,FALSE POSITIVE,0,0,93.60,84
8560840,,FALSE POSITIVE,0,1,62.50,43
4551328,,FALSE POSITIVE,0,1,169.00,1280
4639868,,FALSE POSITIVE,0,1,1108.50,27
10555375,,FALSE POSITIVE,0,0,35.30,179
4372768,,FALSE POSITIVE,0,1,19.30,58
7375795,,FALSE POSITIVE,0,0,20.80,1872
7025526,,FALSE POSITIVE,0,1,48.50,621
9451127,,FALSE POSITIVE,0,1,456.60,265
9446824,,FALSE POSITIVE,0,1,258.80,292
11044770,,FALSE POSITIVE,0,1,46.90,72
11197126,,FALSE POSITIVE,0,1,39.30,305
8552583,,FALSE POSITIVE,0,1,74.50,1261
8519253,,FALSE POSITIVE,0,1,33.60,227
8757910,,FALSE POSITIVE,0,1,104.50,1023
4150539,,FALSE POSITIVE,0,1,43.00,158
8953257,,FALSE POSITIVE,0,1,336.40,413
8971432,,FALSE POSITIVE,1,0,628.30,1068
9278553,,FALSE POSITIVE,0,1,1309.30,72
9143254,,FALSE POSITIVE,0,1,633.10,1179
8949247,,FALSE POSITIVE,0,1,2065.80,57
12506351,,FALSE POSITIVE,0,1,292.70,1091
7622486,,FALSE POSITIVE,0,1,420.90,32
7622486,,FALSE POSITIVE,0,1,366.80,581
9705459,,FALSE POSITIVE,0,1,91.60,534
8552498,,FALSE POSITIVE,0,1,125.50,1262
4285107,,FALSE POSITIVE,0,0,59.10,484
4150624,,FALSE POSITIVE,0,1,35.70,156
9346253,,FALSE POSITIVE,0,1,1305.90,41
9002237,,FALSE POSITIVE,0,1,192.20,302
9288786,,FALSE POSITIVE,0,1,152.60,767
8958035,,FALSE POSITIVE,0,1,202.10,171
9040849,,FALSE POSITIVE,0,0,125.60,283
7842610,,FALSE POSITIVE,0,1,223.10,1376
7830637,,FALSE POSITIVE,0,1,297.00,11
8552565,,FALSE POSITIVE,0,1,80.20,1261
8937021,,FALSE POSITIVE,0,1,39.80,239
9110357,,FALSE POSITIVE,0,1,132.10,1499
9157908,,FALSE POSITIVE,0,1,55.20,148
9030447,,FALSE POSITIVE,1,0,53.80,
3858704,,FALSE POSITIVE,0,0,38.50,361
3556220,,FALSE POSITIVE,0,1,43.90,1352
8509361,,FALSE POSITIVE,0,0,39.30,222
4386059,,FALSE POSITIVE,0,0,20.60,357
9007866,,FALSE POSITIVE,1,0,6.80,
3542588,,FALSE POSITIVE,0,0,27.50,381
3440861,,FALSE POSITIVE,1,0,,
10960993,,FALSE POSITIVE,0,1,441.70,861
10599397,,FALSE POSITIVE,0,1,138.90,1419
10879208,,FALSE POSITIVE,0,1,161.20,766
10843203,,FALSE POSITIVE,0,1,166.30,251
4570931,,FALSE POSITIVE,0,0,25.40,692
7284688,,FALSE POSITIVE,0,0,520.60,
7199774,,FALSE POSITIVE,0,1,24.70,281
7037540,,FALSE POSITIVE,0,1,2294.10,79
6866228,,FALSE POSITIVE,0,1,157.20,173
4060815,,FALSE POSITIVE,1,0,8.30,
6613006,,FALSE POSITIVE,0,1,1509.30,184
6606653,,FALSE POSITIVE,0,1,647.10,505
10748393,,FALSE POSITIVE,0,0,116.10,175
10874226,,FALSE POSITIVE,0,1,172.90,91
10661771,,FALSE POSITIVE,0,1,229.70,1092
10924853,,FALSE POSITIVE,0,0,94.30,638
10874926,,FALSE POSITIVE,0,1,126.60,89
6631721,,FALSE POSITIVE,0,0,68.40,102
6847018,,FALSE POSITIVE,0,1,114.50,80
7220322,,FALSE POSITIVE,0,1,291.10,1782
6956233,,FALSE POSITIVE,0,1,86.30,237
8916492,,FALSE POSITIVE,0,1,36.10,334
11193447,,FALSE POSITIVE,0,0,413.90,
11599264,,FALSE POSITIVE,0,1,183.00,104
11100657,,FALSE POSITIVE,0,1,89.70,104
6621116,,FALSE POSITIVE,0,1,885.90,10
6629332,,FALSE POSITIVE,0,1,142.70,615
6387450,,FALSE POSITIVE,0,1,424.60,364
6432059,,FALSE POSITIVE,1,0,,1736
6470149,,FALSE POSITIVE,0,1,527.80,9
10549562,,FALSE POSITIVE,0,1,72.70,118
10666230,,FALSE POSITIVE,0,1,79.60,847
10971674,,FALSE POSITIVE,0,1,2590.60,564
6891543,,FALSE POSITIVE,0,0,92.20,765
11125936,,FALSE POSITIVE,0,1,150.00,767
6462874,,FALSE POSITIVE,0,0,35.30,30
6665223,,FALSE POSITIVE,0,1,508.40,11
6545358,,FALSE POSITIVE,0,1,67.00,1111
6390824,,FALSE POSITIVE,0,0,38.70,1373
6546528,,FALSE POSITIVE,0,1,50.40,439
10676923,,FALSE POSITIVE,0,0,37.80,1040
9970525,,FALSE POSITIVE,0,0,,
6531491,,FALSE POSITIVE,0,1,58.00,81
7023960,,FALSE POSITIVE,0,1,1266.20,42
10033279,,FALSE POSITIVE,0,0,39.20,13
5009189,,FALSE POSITIVE,0,1,22.00,270
9602514,,FALSE POSITIVE,0,0,77.10,305
12108312,,FALSE POSITIVE,0,1,118.20,1903
5477805,,FALSE POSITIVE,0,0,26.60,271
9842906,,FALSE POSITIVE,0,0,42.40,174
4828341,,FALSE POSITIVE,0,1,66.30,33
10019763,,FALSE POSITIVE,0,1,148.10,34
9899280,,FALSE POSITIVE,0,1,108.80,1004
4940438,,FALSE POSITIVE,0,1,50.50,99
5308663,,FALSE POSITIVE,0,0,44.40,1441
5474733,,FALSE POSITIVE,0,0,31.70,1514
10125352,,FALSE POSITIVE,0,1,292.10,313
11820830,,FALSE POSITIVE,0,1,69.90,109
11774387,,FALSE POSITIVE,0,1,28.90,2497
12504988,,FALSE POSITIVE,0,1,1131.70,259
10799735,,FALSE POSITIVE,0,1,929.00,36
9719634,,FALSE POSITIVE,0,0,38.80,400
12061238,,FALSE POSITIVE,0,0,37.00,714
8323753,,FALSE POSITIVE,0,0,46.50,201
5636648,,FALSE POSITIVE,0,1,103.60,1428
5564247,,FALSE POSITIVE,0,0,17.10,657
7032421,,FALSE POSITIVE,0,1,20.80,67
9641018,,FALSE POSITIVE,0,1,93.00,616
9535080,,FALSE POSITIVE,0,1,176.50,27
5210475,,FALSE POSITIVE,0,0,34.20,1122
8043714,,FALSE POSITIVE,0,1,742.20,179
7918217,,FALSE POSITIVE,0,1,57.60,22
11955499,,FALSE POSITIVE,0,1,34.50,119
9784222,,FALSE POSITIVE,0,1,65.90,1336
5376836,,FALSE POSITIVE,0,1,123.30,306
5557821,,FALSE POSITIVE,0,0,47.70,387
11043136,,FALSE POSITIVE,0,1,24.30,158
5771719,,FALSE POSITIVE,0,1,560.20,84
4950232,,FALSE POSITIVE,0,0,27.00,1158
9520668,,FALSE POSITIVE,0,0,22.70,963
5553652,,FALSE POSITIVE,0,1,26.40,56
4067336,,FALSE POSITIVE,0,1,19.50,102
5387843,,FALSE POSITIVE,0,0,55.60,1533
5629985,,FALSE POSITIVE,0,0,36.80,477
9898364,,FALSE POSITIVE,0,0,91.20,188
11546211,,FALSE POSITIVE,0,1,83.50,974
9850893,,FALSE POSITIVE,0,0,22.70,128
4826110,,FALSE POSITIVE,0,0,11.50,1009
5193400,,FALSE POSITIVE,0,1,35.40,52
4832197,,FALSE POSITIVE,0,1,103.90,1411
4844004,,FALSE POSITIVE,0,1,28.20,683
9761199,,FALSE POSITIVE,0,1,163.40,964
7751571,,FALSE POSITIVE,0,1,108.90,69
9579499,,FALSE POSITIVE,0,1,165.30,164
11913013,,FALSE POSITIVE,0,1,44.80,238
7972785,,FALSE POSITIVE,0,1,1640.00,188
7672940,,FALSE POSITIVE,0,1,1171.20,3
7838655,,FALSE POSITIVE,0,0,97.20,535
7770450,,FALSE POSITIVE,0,1,78.80,979
11455491,,FALSE POSITIVE,0,1,36.00,223
5530882,,FALSE POSITIVE,0,0,17.10,262
9851226,,FALSE POSITIVE,0,0,92.80,128
7543649,,FALSE POSITIVE,0,1,138.40,312
11858748,,FALSE POSITIVE,0,0,46.00,731
9963461,,FALSE POSITIVE,0,1,1241.40,100
8081482,,FALSE POSITIVE,0,1,202.00,480
6048024,,FALSE POSITIVE,0,1,54.60,23
6149553,,FALSE POSITIVE,1,0,,
5649956,,FALSE POSITIVE,0,1,205.90,1083
4840513,,FALSE POSITIVE,0,1,538.00,450
5217586,,FALSE POSITIVE,0,0,59.70,51
9895709,,FALSE POSITIVE,0,0,39.30,728
6696462,,FALSE POSITIVE,0,1,59.50,393
7222086,,FALSE POSITIVE,0,1,20.50,551
9842890,,FALSE POSITIVE,0,0,52.90,174
8113154,,FALSE POSITIVE,0,1,261.30,520
5270698,,FALSE POSITIVE,0,1,408.50,338
5024450,,FALSE POSITIVE,0,1,423.90,567
5282049,,FALSE POSITIVE,0,1,990.30,144
7812167,,FALSE POSITIVE,0,1,27.70,65
11760959,,FALSE POSITIVE,0,0,8.30,323
9940565,,FALSE POSITIVE,0,1,164.40,625
8111381,,FALSE POSITIVE,0,1,228.90,597
5444549,,FALSE POSITIVE,0,1,163.70,36
4860932,,FALSE POSITIVE,0,1,22.80,105
9692345,,FALSE POSITIVE,0,1,60.90,1954
12062667,,FALSE POSITIVE,0,0,39.20,459
9899355,,FALSE POSITIVE,0,1,119.60,849
12644774,,FALSE POSITIVE,0,1,28.80,28
9902856,,FALSE POSITIVE,0,1,99.50,8
7697568,,FALSE POSITIVE,0,1,47.60,57
9164836,,FALSE POSITIVE,0,1,2145.10,30
10019708,,FALSE POSITIVE,0,1,25.90,150
4743513,,FALSE POSITIVE,0,1,102.20,641
5809954,,FALSE POSITIVE,0,1,28.20,9
12508335,,FALSE POSITIVE,0,1,273.00,33
5108214,,FALSE POSITIVE,0,1,21.50,507
7219761,,FALSE POSITIVE,0,0,,
9851271,,FALSE POSITIVE,0,0,37.30,128
3128793,,FALSE POSITIVE,0,1,210.90,47
8098728,,FALSE POSITIVE,0,1,10.90,55
6153672,,FALSE POSITIVE,0,1,32.00,393
6707908,,FALSE POSITIVE,0,1,42.60,523
6867766,,FALSE POSITIVE,0,1,183.30,107
6058614,,FALSE POSITIVE,0,1,36.20,759
5396122,,FALSE POSITIVE,0,1,44.90,75
5213902,,FALSE POSITIVE,0,0,41.20,1119
8164262,,FALSE POSITIVE,1,0,118.90,16
6279974,,FALSE POSITIVE,0,1,329.70,1651
9071386,,FALSE POSITIVE,0,1,1765.20,284
2438513,,FALSE POSITIVE,0,0,17.70,157
9536692,,FALSE POSITIVE,0,1,30.60,50
9838975,,FALSE POSITIVE,0,1,1281.90,72
10666242,,FALSE POSITIVE,0,1,335.20,17
6142862,,FALSE POSITIVE,0,0,14.70,250
10232693,,FALSE POSITIVE,0,0,20.40,634
4043443,,FALSE POSITIVE,0,1,83.70,10
3337432,,FALSE POSITIVE,0,0,25.90,455
11774303,,FALSE POSITIVE,0,1,36.40,2178
7515670,,FALSE POSITIVE,0,0,18.90,1168
5547480,,FALSE POSITIVE,0,1,65.20,269
7019489,,FALSE POSITIVE,0,1,26.30,47
2141783,,FALSE POSITIVE,0,1,25.00,12
10206675,,FALSE POSITIVE,0,1,20.90,76
3832716,,FALSE POSITIVE,1,0,2036.30,0
8453211,,FALSE POSITIVE,0,1,141.40,235
5801571,,FALSE POSITIVE,0,1,303.70,1170
5288570,,FALSE POSITIVE,0,0,26.20,627
7050060,,FALSE POSITIVE,0,0,90.40,64
10593759,,FALSE POSITIVE,0,1,222.30,430
6666233,,FALSE POSITIVE,0,1,46.10,1305
7661065,,FALSE POSITIVE,0,1,24.20,316
7989422,,FALSE POSITIVE,0,1,26.20,181
10801100,,FALSE POSITIVE,1,0,82.10,14
8914779,,FALSE POSITIVE,0,0,25.00,1356
8963721,,FALSE POSITIVE,0,0,83.90,736
8804455,,FALSE POSITIVE,0,0,20.50,564
5023956,,FALSE POSITIVE,0,1,184.30,589
5021737,,FALSE POSITIVE,0,1,181.60,74
3862246,,FALSE POSITIVE,0,1,101.10,230
10925113,,FALSE POSITIVE,0,0,15.10,97
11769801,,FALSE POSITIVE,1,0,130.00,47
8676038,,FALSE POSITIVE,1,0,,
8676038,,FALSE POSITIVE,0,0,,
10419312,,FALSE POSITIVE,0,0,20.70,431
6956014,,FALSE POSITIVE,0,1,20.60,1443
5307858,,FALSE POSITIVE,1,0,58.50,611
10415227,,FALSE POSITIVE,0,0,13.10,364
12216278,,FALSE POSITIVE,0,0,27.90,561
9159242,,FALSE POSITIVE,0,0,22.20,447
12061096,,FALSE POSITIVE,0,0,13.40,86
9993529,,FALSE POSITIVE,0,0,31.50,1690
11303815,,FALSE POSITIVE,0,0,11.50,1560
6044553,,FALSE POSITIVE,1,0,85.20,2515
5212220,,FALSE POSITIVE,0,0,33.50,1233
9964748,,FALSE POSITIVE,0,0,12.70,904
9842937,,FALSE POSITIVE,0,0,23.30,217
2573056,,FALSE POSITIVE,0,1,24.70,1049
11922678,,FALSE POSITIVE,0,0,22.50,765
5544903,,FALSE POSITIVE,0,0,12.80,68
5542983,,FALSE POSITIVE,0,1,20.00,225
8256453,,FALSE POSITIVE,0,1,88.70,841
9474493,,FALSE POSITIVE,0,0,45.20,2606
4551663,,FALSE POSITIVE,0,0,14.00,109
11752908,,FALSE POSITIVE,0,0,23.80,138
10189557,,FALSE POSITIVE,0,0,15.00,460
9965184,,FALSE POSITIVE,0,1,20.50,54
9911882,,FALSE POSITIVE,0,0,18.30,669
5471574,,FALSE POSITIVE,0,1,28.70,1399
11761199,,FALSE POSITIVE,0,1,534.50,7
8074805,,FALSE POSITIVE,0,1,897.00,8
2437505,,FALSE POSITIVE,0,0,9.70,
3533469,,FALSE POSITIVE,0,0,17.40,114
8956706,,FALSE POSITIVE,0,0,4.60,
